,gvkey,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvt,ebit,ebitda,gp,icapt,invt,lt,opeps,revt,seq,txdi,txp,txt,sic,ni,pi,txpd,prev_ni,prev2_ni,prev3_ni,t90ret,b5ret,cpiret,SNP500,SNP500_CD
2003,7116,-288.0,2394.0,289.0,4510.0,1152.0,294.0,437.0,589.0,171.0,803.0,981.0,2611.0,2805.0,388.0,2294.0,1.0,4960.0,2216.0,13.0,253.0,203.0,3942,572.0,740.0,115.0,537.0,230.0,298.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,7179,0.0,34.0,5.0,46.0,6.0,1.0,2.0,3.0,0.0,3.0,4.0,20.0,34.0,17.0,14.0,0.0,77.0,31.0,-1.0,0.0,1.0,3140,3.0,4.0,1.0,2.0,2.0,-1.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,7875,-168.0,3000.0,777.0,7480.0,144.0,-25.0,274.0,2868.0,230.0,732.0,1004.0,2353.0,4886.0,1066.0,5462.0,1.0,7750.0,2016.0,40.0,81.0,66.0,3990,-117.0,20.0,63.0,-47.0,-204.0,264.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,7906,-240.0,4679.0,572.0,6713.0,634.0,685.0,264.0,551.0,142.0,1245.0,1488.0,4622.0,4542.0,1514.0,2722.0,2.0,10697.0,3991.0,33.0,107.0,382.0,3021,945.0,1123.0,330.0,474.0,663.0,589.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,7911,0.0,20.0,1.0,32.0,10.0,2.0,3.0,0.0,0.0,4.0,4.0,10.0,26.0,6.0,5.0,0.0,39.0,26.0,0.0,0.0,1.0,2451,4.0,4.0,0.0,3.0,3.0,2.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,7951,19.0,281.0,22.0,345.0,38.0,20.0,11.0,35.0,1.0,31.0,40.0,192.0,271.0,111.0,108.0,1.0,300.0,236.0,0.0,11.0,7.0,3873,22.0,27.0,6.0,20.0,17.0,20.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,8219,0.0,251.0,59.0,494.0,24.0,25.0,7.0,198.0,6.0,40.0,46.0,167.0,387.0,104.0,305.0,3.0,764.0,189.0,-3.0,2.0,13.0,2300,39.0,33.0,12.0,20.0,10.0,15.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,8551,-35.0,451.0,40.0,771.0,117.0,30.0,27.0,249.0,4.0,69.0,94.0,556.0,521.0,230.0,499.0,1.0,1404.0,272.0,13.0,0.0,15.0,2300,14.0,46.0,1.0,30.0,10.0,30.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,8823,-40.0,0.0,452.0,8063.0,404.0,505.0,61.0,2150.0,13.0,1022.0,1063.0,2017.0,5599.0,6142.0,4615.0,10.0,9045.0,3448.0,19.0,79.0,378.0,1531,986.0,997.0,337.0,624.0,453.0,301.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,9259,-1.0,63.0,11.0,130.0,3.0,0.0,13.0,34.0,0.0,6.0,13.0,108.0,86.0,32.0,78.0,0.0,279.0,51.0,0.0,0.0,1.0,2510,0.0,2.0,-2.0,2.0,2.0,-7.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,9289,9.0,380.0,10.0,462.0,81.0,-7.0,20.0,0.0,23.0,47.0,53.0,181.0,415.0,51.0,47.0,1.0,329.0,415.0,-3.0,8.0,13.0,3990,-20.0,48.0,12.0,34.0,46.0,40.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
2003,9818,-3934.0,26285.0,5812.0,69755.0,5942.0,1501.0,922.0,6729.0,192.0,1545.0,4478.0,4478.0,25920.0,5214.0,50564.0,1.0,62280.0,19007.0,-817.0,910.0,674.0,3600,851.0,1692.0,1429.0,963.0,115.0,134.0,0.011604,0.028316,0.018794,0.024096995039978975,0.029007442121002702
