gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,fdate,acominc,act,ap,at,ch,citotal,cshpri,dltt,dvpd,dvt,ebit,ebitda,gld,gleps,glp,gp,icapt,invt,lt,opeps,opiti,revt,seq,teq,tii,txdba,txdbca,txdbcl,txdi,txp,txt,uopi,costat,ggroup,sic,spcindcd,spcseccd
002080,11/30/2013,2013,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/27/2014,-1.4140,126.3740,19.8920,225.8490,12.7330,4.9050,10.7220,2.4670,,4.5650,10.0050,16.3630,,,,172.3520,159.8760,53.0690,68.4400,0.5000,,321.2860,157.4090,157.4090,,10.7340,4.4180,0.0000,2.2820,0.0000,3.0910,,A,2520,2511,315,976
002080,11/30/2014,2014,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/23/2015,-1.9740,135.3620,22.2510,240.7460,26.6730,8.7390,10.5520,1.9020,,5.0850,14.7310,22.4870,,,,182.9630,158.7340,57.2720,83.9140,0.8300,,340.7380,156.8320,156.8320,,9.7010,5.2680,0.0000,0.5440,0.0000,5.3080,,A,2520,2511,315,976
002080,11/30/2015,2015,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/28/2016,-2.6780,147.2840,20.9160,282.5430,36.2680,19.7290,10.7020,8.5000,,5.8680,26.4630,37.1410,,,,252.2350,185.8660,59.8960,105.1770,1.5500,,430.9270,177.3660,177.3660,,13.4710,0.0000,0.0000,1.9300,0.0000,11.4350,,A,2520,2511,315,976
002080,11/30/2016,2016,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/20/2017,-2.5530,140.5690,21.2810,278.2670,35.1440,15.9540,10.7320,3.8210,,7.3450,26.6130,39.4830,,,,263.8390,184.5260,53.2150,97.5620,1.3900,,432.0380,180.7050,180.7050,,8.0710,0.0000,0.0000,5.3240,0.0000,9.9480,,A,2520,2511,315,976
002080,11/30/2017,2017,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/26/2018,-2.5700,159.3820,21.7600,293.7480,53.9490,18.2390,10.6490,0.3290,,8.2660,27.3910,41.4270,0.2600,0.2600,4.2210,275.9130,191.7890,54.4760,102.2880,1.5600,,452.5030,191.4600,191.4600,,8.3930,0.0000,0.0000,-0.3020,0.0000,9.6200,,A,2520,2511,315,976
002080,11/30/2018,2018,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/23/2019,-2.3380,148.5470,27.4070,291.6410,33.4680,8.9950,10.6510,0.0000,,5.0410,14.2370,28.4510,,,,278.5380,190.3090,64.1920,101.3320,0.8900,,456.8550,190.3090,190.3090,,3.2660,0.0000,0.0000,4.6630,0.0000,3.9880,,A,2520,2511,315,976
002080,11/30/2019,2019,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/23/2020,-1.2360,136.7860,23.6770,275.7660,19.6870,-0.8260,10.2860,0.0000,,5.1330,2.7720,17.4950,,,,274.2450,178.6700,66.3020,97.0960,0.0700,,452.0870,178.6700,178.6700,,5.7440,0.0000,0.0000,-2.8540,0.0000,0.1880,,A,2520,2511,315,976
002080,11/30/2020,2020,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,01/21/2021,-1.3940,160.6780,23.4260,402.5490,45.7990,-10.5790,9.9700,113.8340,,4.5450,-13.2020,0.2770,,,,223.8480,271.8640,54.8860,244.5190,-0.8100,,385.8630,158.0300,158.0300,,4.5870,0.0000,0.0000,1.9660,0.0000,-6.3650,,A,2520,2511,315,976
002080,11/30/2021,2021,INDL,C,D,STD,BSET,BASSETT FURNITURE INDS,USD,11,02/02/2022,-1.8230,180.2840,28.3240,421.6600,34.3740,17.6140,9.8360,111.6420,,5.2100,25.9990,40.5950,,,,224.6270,274.3740,78.0040,258.9280,1.8300,,486.5340,162.7320,162.7320,,3.1890,0.0000,0.0000,1.5830,0.0000,6.1980,,A,2520,2511,315,976
002113,08/31/2000,2000,INDL,C,D,STD,NICH,NITCHES INC,USD,8,,,9.8570,2.5340,10.0110,0.3140,,1.0650,0.0000,,1.7560,2.9120,2.9550,,,,10.3580,6.9620,5.0550,3.0490,1.7700,,39.4710,6.9620,,,,,,-0.0870,0.0980,0.9460,,A,2520,2330,465,976
002113,08/31/2001,2001,INDL,C,D,STD,NICH,NITCHES INC,USD,8,,0.0000,9.1570,2.4300,9.2890,0.1920,,1.0650,0.0000,,1.4400,1.7630,1.7950,,,,8.9780,6.6050,5.4080,2.6840,1.1100,,33.6790,6.6050,,,,,,-0.0400,0.0000,0.6150,,A,2520,2330,465,976
002113,08/31/2002,2002,INDL,C,D,STD,NICH,NITCHES INC,USD,8,,0.0000,10.3780,4.1330,10.5030,0.1820,,1.1120,0.0000,,0.4950,0.2430,0.2760,,,,7.4270,6.2260,5.3060,4.2770,0.1000,,29.4800,6.2260,,,,,,0.0520,0.0000,0.0630,,A,2520,2330,465,976
002113,08/31/2003,2003,INDL,C,D,STD,NICH,NITCHES INC,USD,8,,0.0000,6.7210,1.5250,6.8470,0.1100,,1.1710,0.0000,,0.3520,-1.0790,-1.0460,,,,6.6170,4.9040,4.9740,1.9430,-0.8300,,28.4400,4.9040,,,,,,-0.0790,0.0000,-0.4250,,A,2520,2330,465,976
002113,08/31/2004,2004,INDL,C,D,STD,NICH,NITCHES INC,USD,8,,0.0000,7.5560,1.3660,7.6220,0.2190,,1.1710,0.0000,,0.0000,1.0070,1.0330,,,,9.4220,5.4610,3.3730,2.1610,0.4800,,32.1790,5.4610,,,,,,-0.0550,0.0540,0.3710,,A,2520,2330,465,976
002113,08/31/2005,2005,INDL,C,D,STD,NICH,NITCHES INC,USD,8,,0.0000,10.3880,2.2760,10.4530,0.1920,-1.2010,1.1710,0.0000,,0.0000,-2.3890,-2.3620,,,,5.8130,4.2600,4.5820,6.1930,-1.0300,,26.3200,4.2600,,,0.0100,0.8670,0.0000,-0.5770,0.0000,-0.8940,,A,2520,2330,465,976
002113,08/31/2006,2006,INDL,C,D,STD,NICH,NITCHES INC,USD,8,12/27/2006,0.0000,24.4260,9.3490,30.7840,0.2280,0.4680,4.0770,0.0000,,0.0000,1.0840,1.4420,,,,15.2050,9.2580,12.4240,21.5260,0.1100,,54.8320,9.2580,,,0.0000,0.5870,0.0000,-0.0070,0.0890,0.1210,,A,2520,2330,465,976
002113,08/31/2007,2007,INDL,C,D,STD,NICH,NITCHES INC,USD,8,01/17/2008,0.0000,28.7470,12.3100,38.1010,0.3530,-0.9360,5.3110,1.6270,,0.0000,-0.2610,0.0980,,,,20.7160,15.8570,14.1050,23.8710,-0.1800,,84.9430,14.2300,,,0.0000,0.6810,0.0000,-0.3600,0.0000,-0.3620,,A,2520,2330,465,976
002444,12/31/2000,2000,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,,,1831.8000,238.6000,3396.5000,125.2000,,88.7000,601.8000,,44.3000,452.2000,601.0000,,,,1237.4000,1668.9000,510.7000,2329.4000,2.7300,,3811.9000,1067.1000,1067.1000,,0.0000,367.8000,0.0000,-18.0000,0.0000,121.1000,,A,2520,3510,475,976
002444,12/31/2001,2001,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,12,,-44.7000,1400.9000,214.5000,3157.5000,108.5000,,87.8000,600.2000,,43.8000,191.1000,351.5000,,,,943.8000,1711.1000,557.4000,2046.6000,0.9600,,3370.8000,1110.9000,1110.9000,,0.0000,307.5000,0.0000,48.3000,0.0000,47.5000,,A,2520,3510,475,976
